F1,F2,F3,F4,PCI
16.9,8.25,150,511731,99
15.4,8.25,150,511731,99
12.9,8.25,150,511731,97
15.0,6.5,150,511731,97
12.1,6.5,150,511731,97
16.2,8.25,100,511731,89
11.4,8.25,100,511731,86
13.9,6.5,100,511731,86
14.6,8.25,150,701937,80
12.9,8.25,150,701937,76
12.4,8.25,150,701937,93
16.4,6.5,150,701937,91
13.5,6.5,150,701937,93
10.5,8.25,100,701937,93
14.5,6.5,100,701937,91
13.5,6.5,100,701937,80
15.8,8.25,150,891170,72
14.8,8.25,150,891170,80
10.6,8.25,150,891170,76
13.6,6.5,150,891170,72
7.6,8.25,100,891170,95
14.6,6.5,100,891170,93
14.3,6.5,100,891170,89
9.4,6.5,100,891170,89
14.7,8.25,150,1078843,82
9.2,8.25,150,1078843,74
14.7,6.5,150,1078843,72
14.3,8.25,100,1078843,78
7.7,8.25,100,1078843,70
12.4,6.5,100,1078843,66
11.5,6.5,100,1078843,86
9.4,6.5,100,1078843,84
15.2,8.25,150,1268057,84
15.1,6.5,150,1268057,82
11.2,6.5,150,1268057,80
7.9,8.25,100,1268057,76
7.3,8.25,100,1268057,72
12.7,6.5,100,1268057,74
12.1,6.5,100,1268057,68
7.4,6.5,100,1268057,66
13.2,8.25,150,1457261,89
11.5,8.25,150,1457261,82
8.6,8.25,150,1457261,76
12.9,6.5,150,1457261,82
9.7,6.5,150,1457261,80
14.7,8.25,100,1457261,74
12.6,8.25,100,1457261,70
11.2,6.5,100,1457261,66
12.1,8.25,150,1646516,66
11.0,8.25,150,1646516,59
8.4,8.25,150,1646516,80
14.5,6.5,150,1646516,80
10.8,6.5,150,1646516,76
9.5,8.25,100,1646516,76
12.2,6.5,100,1646516,74
11.1,6.5,100,1646516,72
12.7,8.25,150,1836479,68
9.9,8.25,150,1836479,68
9.1,8.25,150,1836479,66
8.0,6.5,150,1836479,57
13.4,8.25,100,1836479,80
13.4,6.5,100,1836479,76
9.0,6.5,100,1836479,70
8.7,6.5,100,1836479,76
9.7,8.25,150,2025199,66
8.0,8.25,150,2025199,57
10.5,6.5,150,2025199,57
8.4,8.25,100,2025199,66
6.1,8.25,100,2025199,61
13.2,6.5,100,2025199,57
12.0,6.5,100,2025199,74
9.3,6.5,100,2025199,70
8.6,8.25,150,2114176,68
15.4,6.5,150,2114176,76
12.0,6.5,150,2114176,74
10.5,8.25,100,2114176,61
10.3,8.25,100,2114176,57
13.8,6.5,100,2114176,63
12.4,6.5,100,2114176,57
9.6,6.5,100,2114176,55
12.9,8.25,150,2202598,72
10.1,8.25,150,2202598,68
8.6,8.25,150,2202598,66
8.8,6.5,150,2202598,63
8.5,6.5,150,2202598,59
8.8,8.25,100,2202598,57
7.5,8.25,100,2202598,53
12.5,6.5,100,2202598,55
