Mr,SN,ALT,ESAL,AGE,D,PCI
28.1,5.748,150,345060,2,0,99
27.6,5.748,150,345060,2,0,99
20.7,5.748,150,345060,2,0,98
29.7,5.748,150,345060,2,0,98
22.6,5.748,150,345060,2,0,98
30.2,4.882,100,345060,2,0,94
23.8,4.882,100,345060,2,0,93
30,4.882,100,345060,2,0,93
20.9,4.882,100,345060,2,0,90
14.5,4.882,100,345060,2,0,88
19.7,5.748,150,421353,2,0,96
16.3,5.748,150,421353,2,0,95
14.2,5.748,150,421353,2,0,96
21.8,5.748,150,421353,2,0,96
16.9,5.748,150,421353,2,0,95
24.8,4.882,100,421353,2,0,90
10.6,4.882,100,421353,2,0,86
28,4.882,100,421353,2,0,90
19.3,4.882,100,421353,2,0,88
15,4.882,100,421353,2,0,86
26.2,5.748,150,496299,2,0,97
22.3,5.748,150,496299,2,0,96
18.2,5.748,150,496299,2,0,94
22.2,5.748,150,496299,2,0,94
11.1,5.748,150,496299,2,0,91
19.2,4.882,100,496299,2,0,87
16,4.882,100,496299,2,0,86
30.3,4.882,100,496299,2,0,89
13.6,4.882,100,496299,2,0,85
11,4.882,100,496299,2,0,83
23.7,5.748,150,571876,2,0,93
21.6,5.748,150,571876,2,0,92
14.4,5.748,150,571876,2,0,92
15.2,5.748,150,571876,2,0,91
10.6,5.748,150,571876,2,0,90
23.4,4.882,100,571876,2,0,88
18.3,4.882,100,571876,2,0,86
30.5,4.882,100,571876,2,0,87
17.4,4.882,100,571876,2,0,84
13.5,4.882,100,571876,2,0,83
29,5.748,150,647387,2,0,94
18.7,5.748,150,647387,2,0,91
11,5.748,150,647387,2,0,88
23.9,5.748,150,647387,2,0,91
20.3,5.748,150,647387,2,0,90
25.7,4.882,100,647387,2,0,87
22.1,4.882,100,647387,2,0,85
21.2,4.882,100,647387,2,0,83
18.5,4.882,100,647387,2,0,83
11.8,4.882,100,647387,2,0,80
22.5,5.748,150,723859,2,0,90
21.8,5.748,150,723859,2,0,90
16.2,5.748,150,723859,2,0,88
19.8,5.748,150,723859,2,0,88
15.5,5.748,150,723859,2,0,87
29.9,4.882,100,723859,2,0,86
24.8,4.882,100,723859,2,0,84
28.1,4.882,100,723859,2,0,84
24.1,4.882,100,723859,2,0,83
15.4,4.882,100,723859,2,0,79
28.7,5.748,150,798664,6,0,90
17.6,5.748,150,798664,6,0,88
11.5,5.748,150,798664,6,0,85
25.2,5.748,150,798664,6,0,88
10.7,5.748,150,798664,6,0,83
14.1,4.882,100,798664,6,0,79
9.6,4.882,100,798664,6,0,79
30.7,4.882,100,798664,6,0,83
26.4,4.882,100,798664,6,0,81
14.4,4.882,100,798664,6,0,79
20.1,5.748,150,874093,6,0,87
14.9,5.748,150,874093,6,0,85
9.7,5.748,150,874093,6,0,84
29.9,5.748,150,874093,6,0,88
26.3,5.748,150,874093,6,0,87
27.1,4.882,100,874093,6,0,81
20,4.882,100,874093,6,0,79
28.3,4.882,100,874093,6,0,82
22.8,4.882,100,874093,6,0,79
13.7,4.882,100,874093,6,0,78
27.6,5.748,150,950292,6,0,86
22.5,5.748,150,950292,6,0,84
10.5,5.748,150,950292,6,0,83
13.4,5.748,150,950292,6,0,82
9.9,5.748,150,950292,6,0,80
23.8,4.882,100,950292,6,0,79
17,4.882,100,950292,6,0,77
30.2,4.882,100,950292,6,0,79
26.3,4.882,100,950292,6,0,79
19.5,4.882,100,950292,6,0,76
21.4,5.748,150,1008455,6,0,84
15.2,5.748,150,1008455,6,0,83
12.4,5.748,150,1008455,6,0,82
29.1,5.748,150,1008455,6,0,84
26.8,5.748,150,1008455,6,0,83
25.4,5.748,150,1008455,6,0,82
9.3,5.748,150,1008455,6,0,78
27.3,4.882,100,1008455,6,0,79
25.5,4.882,100,1008455,6,0,79
13.5,4.882,100,1008455,6,0,74
12.1,4.882,100,1008455,6,0,73
28.4,4.882,100,1008455,6,0,76
25.2,4.882,100,1008455,6,0,76
24.8,4.882,100,1008455,6,0,75
24,4.882,100,1008455,6,0,76
12,4.882,100,1008455,6,0,72
23.4,5.748,150,1026080,6,0,81
21.9,5.748,150,1026080,6,0,81
16.1,5.748,150,1026080,6,0,80
29.5,5.748,150,1026080,6,0,81
16.6,5.748,150,1026080,6,0,78
25,4.882,100,1026080,6,0,76
16.5,4.882,100,1026080,6,0,73
30.7,4.882,100,1026080,6,0,75
25.4,4.882,100,1026080,6,0,74
21.5,4.882,100,1026080,6,0,73
18.6,5.748,150,1101517,6,0,79
18.4,5.748,150,1101517,6,0,79
17.8,5.748,150,1101517,6,0,79
23.6,5.748,150,1101517,6,0,78
18.6,5.748,150,1101517,6,0,76
25.3,4.882,100,1101517,6,0,74
14.9,4.882,100,1101517,6,0,72
27.5,4.882,100,1101517,6,0,74
21.9,4.882,100,1101517,6,0,72
10,4.882,100,1101517,6,0,67
27.1,5.748,150,1108995,6,0,79
24.8,5.748,150,1108995,6,0,79
24.2,5.748,150,1108995,6,0,79
18.4,5.748,150,1108995,6,0,77
18.3,5.748,150,1108995,6,0,77
18.1,5.748,150,1108995,6,0,77
11.4,5.748,150,1108995,6,0,74
9.6,5.748,150,1108995,6,0,73
8.9,5.748,150,1108995,6,0,74
26.4,5.748,150,1108995,6,0,75
26.3,5.748,150,1108995,6,0,76
19.2,5.748,150,1108995,6,0,74
16.9,5.748,150,1108995,6,0,74
8.6,5.748,150,1108995,6,0,70
24.5,4.882,100,1108995,6,0,70
21.4,4.882,100,1108995,6,0,69
19.7,4.882,100,1108995,6,0,69
15.1,4.882,100,1108995,6,0,67
14.8,4.882,100,1108995,6,0,68
9.2,4.882,100,1108995,6,0,66
26.1,4.882,100,1108995,6,0,69
20.3,4.882,100,1108995,6,0,68
19.9,4.882,100,1108995,6,0,67
18.2,4.882,100,1108995,6,0,66
17.4,4.882,100,1108995,6,0,66
16,4.882,100,1108995,6,0,66
13.9,4.882,100,1108995,6,0,64
13.4,4.882,100,1108995,6,0,65
11.5,4.882,100,1108995,6,0,63
29.4,5.748,150,1176411,6,0,75
17.6,5.748,150,1176411,6,0,73
14.7,5.748,150,1176411,6,0,71
24.5,5.748,150,1176411,6,0,72
11.5,5.748,150,1176411,6,0,68
16.1,4.882,100,1176411,6,0,64
8.6,4.882,100,1176411,6,0,63
24.9,4.882,100,1176411,6,0,66
23.6,4.882,100,1176411,6,0,66
18.6,4.882,100,1176411,6,0,64
28.5,5.748,150,1211047,6,0,74
27,5.748,150,1211047,6,0,73
20.6,5.748,150,1211047,6,0,70
20.5,5.748,150,1211047,6,0,71
19,5.748,150,1211047,6,0,70
9.1,5.748,150,1211047,6,0,66
21.8,5.748,150,1211047,6,0,70
17.2,5.748,150,1211047,6,0,69
8.4,5.748,150,1211047,6,0,66
15.5,4.882,100,1211047,6,0,62
14.9,4.882,100,1211047,6,0,63
30.9,4.882,100,1211047,6,0,65
18.6,4.882,100,1211047,6,0,61
12.2,4.882,100,1211047,6,0,61
11.9,4.882,100,1211047,6,0,61
11.6,4.882,100,1211047,6,0,61
9.7,4.882,100,1211047,6,0,59
27,5.748,150,1251841,6,0,70
21.5,5.748,150,1251841,6,0,69
21,5.748,150,1251841,6,0,69
26.2,5.748,150,1251841,6,0,68
25.7,5.748,150,1251841,6,0,69
16.6,4.882,100,1251841,6,0,61
8.6,4.882,100,1251841,6,0,59
28.5,4.882,100,1251841,6,0,64
16.2,4.882,100,1251841,6,0,60
13.3,4.882,100,1251841,6,0,58
25.8,5.748,150,1314627,6,0,68
22.9,5.748,150,1314627,6,0,67
22.2,5.748,150,1314627,6,0,67
26.2,5.748,150,1314627,6,0,68
8.7,5.748,150,1314627,6,0,61
19.3,4.882,100,1314627,6,0,61
18.3,4.882,100,1314627,6,0,60
17.3,4.882,100,1314627,6,0,59
27.6,5.748,150,1328278,6,0,67
17,5.748,150,1328278,6,0,66
14.6,5.748,150,1328278,6,0,65
14.2,5.748,150,1328278,6,0,63
8.8,5.748,150,1328278,6,0,61
28.6,4.882,100,1328278,6,0,61
25.2,4.882,100,1328278,6,0,60
29.3,4.882,100,1328278,6,0,60
28.2,4.882,100,1328278,6,0,60
13.6,4.882,100,1328278,6,0,57
29.8,5.748,150,1403494,7,0,66
12.2,5.748,150,1403494,7,0,62
